,sound,condition,response,predictability,sentences,response_words,sentence_words,word_count
352,14,a,the soup is served in the boul.,(H),the soup was served in a bowl.,"['the', 'soup', 'is', 'served', 'in', 'the', 'soul', '.']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",6
351,14,a,the soup was served in a bowl.,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",8
350,14,a,the soup was served in a bowl,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",7
358,14,b,the rosebush has pricky thorns,(H),the soup was served in a bowl.,"['the', 'rosebush', 'has', 'prick', 'thorns']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",1
320,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
321,15,a,i have spoken about the pile.,(L),i have spoken about the pile.,"['i', 'have', 'spoken', 'about', 'the', 'pile', '.']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",7
322,15,a,i've spoken about the pile.,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile', '.']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",6
323,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
324,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
325,15,b,i'd spoken about the pile,(L),i have spoken about the pile.,"['i', ""i'd"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
326,15,b,i spoke about the tile,(L),i have spoken about the pile.,"['i', 'spoke', 'about', 'the', 'tile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",3
327,15,b,they have a problem with the limb,(L),i have spoken about the pile.,"['they', 'have', 'a', 'problem', 'with', 'the', 'limb']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",2
329,15,b,ann was interested in the breath,(L),i have spoken about the pile.,"['ann', 'was', 'interested', 'in', 'the', 'breath']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",1
328,15,b,bill had tom called about the coach,(L),i have spoken about the pile.,"['bill', 'had', 'tom', 'called', 'about', 'the', 'coach']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",2
144,16,a,jane have a problem with a kind,(L),jane has a problem with the coin.,"['jane', 'have', 'a', 'problem', 'with', 'a', 'kind']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",5
142,16,a,chain has a problem with a coin.,(L),jane has a problem with the coin.,"['chain', 'has', 'a', 'problem', 'with', 'a', 'coin', '.']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
143,16,a,jane has a problem with a coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
145,16,b,after his bath he wore a robe,(L),jane has a problem with the coin.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",1
149,16,b,will might discuss defoe,(L),jane has a problem with the coin.,"['will', 'might', 'discuss', 'defne']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",0
147,16,b,the old man thinks about the mast,(L),jane has a problem with the coin.,"['the', 'old', 'man', 'thinks', 'about', 'the', 'mast']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",2
148,16,b,the bomb exploded with a blast,(L),jane has a problem with the coin.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",3
141,16,a,jane has a problem with a coin.,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin', '.']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",8
146,16,b,jane has a problem with a coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
140,16,a,jane has a problem with the coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'the', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
18,17,b,we should have considered the juice,(H),the bomb exploded with a blast.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
11,17,a,the bomb exploded with a blast.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",7
12,17,a,the bomb exploded the glass.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'the', 'glass', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",5
13,17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
14,17,a,the bomb expolded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
15,17,b,we should have considered the juice,(H),the bomb exploded with a blast.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
16,17,b,the bomb explored with blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'explored', 'with', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
17,17,b,a bomb is exploding for the blast,(H),the bomb exploded with a blast.,"['a', 'bomb', 'is', 'exploding', 'for', 'the', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
19,17,b,a rose bush has prickly thorns,(H),the bomb exploded with a blast.,"['a', 'rose', 'bush', 'has', 'prickly', 'thorns']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
10,17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
0,18,a,mary could not discuss the thing,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'thing']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
9,18,b,we should have considered the jews,(L),mary could not discuss the tack.,"['we', 'should', 'have', 'considered', 'the', 'jews']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",1
8,18,b,mary could not discuss the tag,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'tag']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
7,18,b,a rose bush has pricky thorns,(L),mary could not discuss the tack.,"['a', 'rose', 'bush', 'has', 'prick', 'thorns']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",0
6,18,b,marry could not discuss the tax,(L),mary could not discuss the tack.,"['marry', 'could', 'not', 'discuss', 'the', 'tax']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
5,18,b,a rose bush has prickly thorns,(L),mary could not discuss the tack.,"['a', 'rose', 'bush', 'has', 'prickly', 'thorns']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",0
4,18,a,marry could just discuss the tag,(L),mary could not discuss the tack.,"['marry', 'could', 'just', 'discuss', 'the', 'tag']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",3
3,18,a,mary could not discuss the tag,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'tag']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
2,18,a,could know discuss the tug,(L),mary could not discuss the tack.,"['could', 'know', 'discuss', 'the', 'tug']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",3
1,18,a,marry could not distract attack.,(L),mary could not discuss the tack.,"['marry', 'could', 'not', 'distract', 'attack', '.']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",3
91,2,a,she should have considered the duce.,(L),we should have considered the juice.,"['she', 'should', 'have', 'considered', 'the', 'due', '.']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",5
90,2,a,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
98,2,b,"i can't guess, so give me a hint",(L),we should have considered the juice.,"['i', 'ca', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",0
97,2,b,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
96,2,b,we should consider the juice,(L),we should have considered the juice.,"['we', 'should', 'consider', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",4
95,2,b,this nozzle sprays a fine mist,(L),we should have considered the juice.,"['this', 'nozzle', 'sprays', 'a', 'fine', 'mist']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",0
94,2,a,we should have considered the foam,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'foam']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",5
93,2,a,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
92,2,a,consider the juice,(L),we should have considered the juice.,"['consider', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",2
99,2,b,the cop wore a bulletproof west,(L),we should have considered the juice.,"['the', 'cop', 'wore', 'a', 'bulletproof', 'west']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",1
300,3,a,the fruit was shipped in wooden crates,(H),the fruit was shipped in wooden crates.,"['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",7
301,3,a,the fruit was shipped in wooden crates.,(H),the fruit was shipped in wooden crates.,"['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",8
302,3,a,the fruit was shipped wouldn't cries.,(H),the fruit was shipped in wooden crates.,"['the', 'fruit', 'was', 'shipped', 'would', 'not', 'cries', '.']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",5
303,3,a,the fruit was shipped in wooden crates',(H),the fruit was shipped in wooden crates.,"['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', ""'""]","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",7
304,3,a,the fraigth was shipped i wooden crates,(H),the fruit was shipped in wooden crates.,"['the', 'faith', 'was', 'shipped', 'i', 'wooden', 'crates']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",5
306,3,b,the fruit was shipped,(H),the fruit was shipped in wooden crates.,"['the', 'fruit', 'was', 'shipped']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",4
307,3,b,no one was injured in the crash,(H),the fruit was shipped in wooden crates.,"['no', 'one', 'was', 'injured', 'in', 'the', 'crash']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",3
308,3,b,we should have considered the juice,(H),the fruit was shipped in wooden crates.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",1
305,3,b,i can't guess so give me a hint,(H),the fruit was shipped in wooden crates.,"['i', 'ca', 'not', 'guess', 'so', 'give', 'me', 'a', 'hint']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",0
309,3,b,the farmer harvested his crop,(H),the fruit was shipped in wooden crates.,"['the', 'farmer', 'harvested', 'his', 'crop']","['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates', '.']",1
250,4,a,bob could have known about the spoon,(L),bob could have known about the spoon.,"['bob', 'could', 'have', 'known', 'about', 'the', 'spoon']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",7
253,4,a,bob could have known about the spoon,(L),bob could have known about the spoon.,"['bob', 'could', 'have', 'known', 'about', 'the', 'spoon']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",7
254,4,a,mom could have known about the spoon,(L),bob could have known about the spoon.,"['mom', 'could', 'have', 'known', 'about', 'the', 'spoon']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",6
255,4,b,mary could not discuss the tack,(L),bob could have known about the spoon.,"['mary', 'could', 'not', 'discuss', 'the', 'tack']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",2
256,4,b,bob could know about the spoon ,(L),bob could have known about the spoon.,"['bob', 'could', 'know', 'about', 'the', 'spoon']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",5
257,4,b,the sailor swabbed the deck,(L),bob could have known about the spoon.,"['the', 'sailor', 'swabbed', 'the', 'deck']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",2
258,4,b,you were considering the gang,(L),bob could have known about the spoon.,"['you', 'were', 'considering', 'the', 'gang']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",1
259,4,b,mary could not discuss the tac,(L),bob could have known about the spoon.,"['mary', 'could', 'not', 'discuss', 'the', 'tac']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",2
251,4,a,bob could have known about the spoon.,(L),bob could have known about the spoon.,"['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",8
252,4,a,folk could know about the spoon.,(L),bob could have known about the spoon.,"['folk', 'could', 'know', 'about', 'the', 'spoon', '.']","['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', '.']",5
292,5,a,roof poured down       the rain,(H),ruth poured the water down the drain.,"['roof', 'poured', 'down', 'the', 'rain']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",3
298,5,b,after his bath he wore a robe,(H),ruth poured the water down the drain.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",0
297,5,b,nancy had considered the sleeves,(H),ruth poured the water down the drain.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",1
296,5,b,the roof coat down with rain,(H),ruth poured the water down the drain.,"['the', 'roof', 'coat', 'down', 'with', 'rain']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",2
295,5,b,the fruit was shipped in wooden crates,(H),ruth poured the water down the drain.,"['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",1
294,5,a,roof poured the water down the drain,(H),ruth poured the water down the drain.,"['roof', 'poured', 'the', 'water', 'down', 'the', 'drain']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",6
293,5,a,ruth poured the water down the drain,(H),ruth poured the water down the drain.,"['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",7
290,5,a,roof pour the water down the drain,(H),ruth poured the water down the drain.,"['roof', 'pour', 'the', 'water', 'down', 'the', 'drain']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",5
299,5,b,the food was shipped in wooden crates,(H),ruth poured the water down the drain.,"['the', 'food', 'was', 'shipped', 'in', 'wooden', 'crates']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",1
291,5,a,ruth poured the water down the drain.,(H),ruth poured the water down the drain.,"['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']","['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain', '.']",8
189,6,b,tom will discuss the svane(på engelsk) <3. swarn. det forkert stavet,(H),the boy gave the football a kick.,"['tom', 'will', 'discuss', 'the', 'sane', '(', 'pa', 'angels', ')', '<', '3', '.', 'warn', '.', 'det', 'forget', 'stave']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",3
188,6,b,tom could not discuss the bar,(H),the boy gave the football a kick.,"['tom', 'could', 'not', 'discuss', 'the', 'bar']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",1
